Data published in District Resource Statement,Data as of,Borough,Community District,DRS Medicaid (MA) Only Enrollees,DRS Total Medicaid (MA) Enrollees,DRS Cash Assistance (CA) Recipients,DRS Cash Assistance (CA) Cases,DRS Total Supplemental Nutrition Assistance Program (SNAP)  Recipients,DRS Total Supplemental Nutrition Assistance Program (SNAP)  Households
FY 2020,10/31/2019,BROOKLYN,K02,6331,12969,2975,1854,12666,8545
FY 2020,10/31/2019,BROOKLYN,K03,17775,36751,9694,5097,41267,22328
FY 2020,10/31/2019,BROOKLYN,K04,10549,20662,4010,2247,22230,13661
FY 2020,10/31/2019,BROOKLYN,K05,22485,49973,13928,7318,59271,34047
FY 2020,10/31/2019,BROOKLYN,K06,4761,9604,1928,1183,9783,6519
FY 2020,10/31/2019,BROOKLYN,K07,18896,26187,2795,1673,19420,11596
FY 2020,10/31/2019,BROOKLYN,K08,7987,18080,4882,2930,18755,12162
FY 2020,10/31/2019,BROOKLYN,K09,10116,18171,3889,2317,19156,11736
FY 2020,10/31/2019,BROOKLYN,K10,15085,20561,1804,1148,15813,9427
FY 2020,10/31/2019,BROOKLYN,K11,28503,41081,2996,1796,32991,19799
FY 2020,10/31/2019,BROOKLYN,K12,45024,60658,9500,2448,58031,18791
FY 2020,10/31/2019,BROOKLYN,K13,14824,32574,4760,2430,30154,20217
FY 2020,10/31/2019,BROOKLYN,K14,18298,29758,4263,2461,28094,16796
FY 2020,10/31/2019,BROOKLYN,K15,19101,30741,2926,1640,25896,16331
FY 2020,10/31/2019,BROOKLYN,K16,10222,30802,11355,5672,35122,19838
FY 2020,10/31/2019,BROOKLYN,K17,13218,26724,7320,4365,27874,17953
FY 2020,10/31/2019,BROOKLYN,K18,15551,27356,5209,2838,26542,16011
FY 2020,10/31/2019,MANHATTAN,M01,1421,2856,710,558,2188,1769
FY 2020,10/31/2019,MANHATTAN,M02,2430,3490,315,276,2696,2201
FY 2020,10/31/2019,MANHATTAN,M03,21544,39209,6078,3996,35031,24086
FY 2020,10/31/2019,MANHATTAN,M04,5455,12026,2929,2125,11334,8510
FY 2020,10/31/2019,MANHATTAN,M05,1593,6167,2542,1547,5424,3731
FY 2020,10/31/2019,MANHATTAN,M06,2917,5405,1031,854,4929,4260
FY 2020,10/31/2019,MANHATTAN,M07,7806,16233,3326,2324,15410,11599
FY 2020,10/31/2019,MANHATTAN,M08,4001,6609,785,573,5292,4211
FY 2020,10/31/2019,MANHATTAN,M09,8940,19419,4710,2967,20503,13547
FY 2020,10/31/2019,MANHATTAN,M10,10778,26635,7930,4952,29595,19097
FY 2020,10/31/2019,MANHATTAN,M11,14883,36567,9793,5976,39590,24933
FY 2020,10/31/2019,MANHATTAN,M12,21797,40599,6252,4097,42273,29176
FY 2020,10/31/2019,QUEENS,Q01,16352,25103,3865,2283,20890,12612
FY 2020,10/31/2019,QUEENS,Q02,11619,15245,1651,1073,9850,6266
FY 2020,10/31/2019,QUEENS,Q03,23842,29673,2518,1604,21578,12540
FY 2020,10/31/2019,QUEENS,Q04,25968,32509,2529,1648,22990,13515
FY 2020,10/31/2019,QUEENS,Q05,14085,18906,1875,1199,16386,9678
FY 2020,10/31/2019,QUEENS,Q06,8357,12188,753,529,9386,6659
FY 2020,10/31/2019,QUEENS,Q07,32845,42132,3524,2388,24665,16398
FY 2020,10/31/2019,QUEENS,Q08,15445,22177,2835,1816,16370,10048
FY 2020,10/31/2019,QUEENS,Q09,15574,22371,2893,1813,19418,11382
FY 2020,10/31/2019,QUEENS,Q10,11202,16634,2233,1359,14660,8934
FY 2020,10/31/2019,QUEENS,Q11,9259,11514,768,531,6420,4367
FY 2020,10/31/2019,QUEENS,Q12,23031,41105,9492,5682,40591,24923
FY 2020,10/31/2019,QUEENS,Q13,13614,21239,3600,2326,17962,11641
FY 2020,10/31/2019,QUEENS,Q14,11727,27828,7641,3517,27257,14897
